2024/05/17 10:26:59 [error] 21864#11260: *11008 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "POST /wp-admin/admin-ajax.php HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=913&action=elementor"
2024/09/30 13:42:02 [error] 29708#29936: *18773 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/settings?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:02 [error] 29708#29936: *18777 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/pages/1279?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:02 [error] 29708#29936: *18783 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10008", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:02 [error] 29708#29936: *18774 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:02 [error] 29708#29936: *18774 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/wp_pattern_category?context=view&per_page=100&_fields=id%2Cname%2Cdescription%2Cslug&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:02 [error] 29708#29936: *18783 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/taxonomies?context=edit&per_page=100&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:02 [error] 29708#29936: *18773 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/settings?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:02 [error] 29708#29936: *18777 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "OPTIONS /wp-json/wp/v2/pages/1279?_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:02 [error] 29708#29936: *18785 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://127.0.0.1:10009", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
2024/09/30 13:42:02 [error] 29708#29936: *18785 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-json/?_fields=description%2Cgmt_offset%2Chome%2Cname%2Csite_icon%2Csite_icon_url%2Csite_logo%2Ctimezone_string%2Curl&_locale=user HTTP/1.0", upstream: "fastcgi://php", host: "newsite.local", referrer: "http://newsite.local/wp-admin/post.php?post=1279&action=edit"
